﻿﻿﻿﻿﻿﻿﻿﻿Symbol,Name,Qty,Price,Day Gain/Loss,Day Gain/Loss %,Market Value £,Market Value,Book Cost,Gain/Loss,Gain/Loss %,Average Price
CS1,Amundi Ibex 35 ETF Acc GBP,1,"32,997.50p",£-4.23,-1.26%,£329.98,£329.98,£269.59,£60.39,22.40%,"26,959.00p"
NATO,Future of Defence ETF Acc,18,$18.848,$-0.32,-0.10%,£248.37,$339.26,£158.03,£90.34,57.17%,£8.779444
NAVY,Future of European Defence ETF USD Acc GBP,30,858.85p,£-3.02,-1.16%,£257.66,£257.66,£210.76,£46.90,22.25%,702.5333p
VPNG,Global X DtCenterREITs&DgtlInfrasETF$Acc GBP,23,£13.015,£-2.00,-0.66%,£299.35,£299.35,£287.67,£11.68,4.06%,£12.507391
ORCP,Oracle Power,32151,0.017p,£0.19,3.66%,£5.47,£5.47,£7.88,£-2.41,-30.58%,0.0245p
DFNG,VanEck Defense ETF A USD Acc GBP,10,£44.97,£-0.95,-0.21%,£449.70,£449.70,£252.39,£197.31,78.18%,£25.239
TRET,VanEck Global Real Estate UCITS ETF USD,18,$44.43,$-3.11,-0.39%,£585.48,$799.74,£620.46,£-34.98,-5.64%,£34.47
SMGB,VanEck Semiconductor ETF GBP,25,£37.695,£0.63,0.07%,£942.38,£942.38,£747.50,£194.88,26.07%,£29.90
DXJP,WisdomTree Jpn Equity UCIT ETF GBP Hedge,30,"2,489.25p",£-2.10,-0.28%,£746.78,£746.78,£591.17,£155.61,26.32%,"1,970.5667p"
XUKX,Xtrackers FTSE 100 Income ETF 1D,36,896.60p,£-2.63,-0.81%,£322.78,£322.78,£301.96,£20.82,6.90%,838.7778p
"",,,Totals,,,,,,,,
"",,,GBP,£-16.62,-0.39%,"£4,187.95","£4,187.95","£3,447.41",£740.54,21.48%,
